OriginAirportID,cancelled,carrier,weather,nas,security,late
12173,588.0,175.0,20.0,89.0,2.0,52.0
12177,6.0,1.0,,2.0,,
12191,698.0,233.0,6.0,233.0,1.0,158.0
12197,211.0,52.0,,43.0,,11.0
12206,42.0,22.0,1.0,20.0,,6.0
12217,133.0,8.0,1.0,46.0,,18.0
12223,14.0,3.0,,5.0,,
12250,9.0,4.0,,2.0,,
12255,13.0,1.0,,2.0,,
12264,716.0,117.0,4.0,121.0,,26.0
12265,8.0,,1.0,6.0,,
12266,2354.0,464.0,11.0,733.0,,122.0
12278,115.0,36.0,5.0,22.0,,5.0
12280,17.0,1.0,,7.0,,
12323,141.0,20.0,3.0,35.0,,14.0
12335,9.0,1.0,1.0,3.0,,
12339,632.0,161.0,14.0,181.0,,45.0
12343,8.0,,,1.0,,
12391,92.0,25.0,,12.0,,14.0
12397,24.0,4.0,,1.0,,
12402,60.0,32.0,1.0,2.0,,4.0
12441,85.0,28.0,5.0,22.0,,9.0
12448,86.0,19.0,7.0,29.0,,5.0
12451,469.0,138.0,9.0,135.0,,40.0
12478,2293.0,287.0,14.0,373.0,3.0,135.0
12511,12.0,,,4.0,,
12519,35.0,,,3.0,,
12523,86.0,,,27.0,,
12544,16.0,4.0,1.0,9.0,,1.0
12559,17.0,,,,,
12758,184.0,59.0,4.0,22.0,,19.0
12819,46.0,7.0,1.0,12.0,,
12884,18.0,1.0,,2.0,,
12888,23.0,,,,,
12889,1670.0,900.0,37.0,1412.0,4.0,341.0
12891,37.0,,,7.0,,1.0
12892,1581.0,641.0,5.0,1071.0,1.0,190.0
12896,93.0,20.0,2.0,21.0,,5.0
12898,14.0,,,5.0,,
12899,12.0,,,1.0,,
12902,20.0,,,4.0,,
12915,27.0,1.0,3.0,1.0,,1.0
12917,24.0,3.0,1.0,5.0,,
12945,121.0,35.0,5.0,34.0,1.0,8.0
12951,67.0,6.0,6.0,15.0,1.0,6.0
12953,3846.0,563.0,13.0,546.0,2.0,155.0
12954,91.0,85.0,,54.0,,15.0
12982,148.0,70.0,2.0,11.0,,19.0
12992,130.0,43.0,25.0,49.0,,20.0
13029,13.0,1.0,,1.0,,
13061,28.0,5.0,,12.0,,2.0
13076,6.0,4.0,,1.0,,
13127,6.0,,,3.0,,
13158,126.0,27.0,5.0,43.0,,9.0
13184,31.0,3.0,,12.0,,
13198,591.0,225.0,5.0,206.0,,66.0
13204,2910.0,586.0,52.0,1372.0,4.0,332.0
13211,23.0,,,2.0,,1.0
13230,62.0,24.0,1.0,20.0,,6.0
13232,930.0,346.0,4.0,394.0,,213.0
13241,19.0,,,7.0,,
13244,306.0,106.0,3.0,92.0,,25.0
13256,86.0,20.0,1.0,28.0,,4.0
13264,45.0,5.0,1.0,19.0,,5.0
13277,39.0,7.0,1.0,11.0,,2.0
13290,16.0,5.0,1.0,2.0,,1.0
13296,62.0,30.0,1.0,23.0,,10.0
13303,1878.0,675.0,47.0,674.0,12.0,175.0
13342,402.0,93.0,4.0,90.0,,28.0
13360,43.0,11.0,,2.0,,4.0
13367,85.0,12.0,3.0,26.0,,2.0
13377,26.0,15.0,1.0,3.0,,3.0
13422,37.0,9.0,2.0,11.0,,
13433,35.0,5.0,,5.0,,
13459,9.0,1.0,,10.0,1.0,
13476,42.0,17.0,2.0,23.0,,2.0
13485,157.0,43.0,8.0,31.0,1.0,9.0
13486,49.0,13.0,,21.0,1.0,4.0
13487,1122.0,292.0,28.0,431.0,2.0,113.0
13495,725.0,278.0,9.0,416.0,,94.0
13502,27.0,13.0,,15.0,1.0,5.0
13541,52.0,6.0,1.0,6.0,,2.0
13577,326.0,51.0,3.0,135.0,,13.0
13795,21.0,11.0,,6.0,,
13796,285.0,153.0,1.0,176.0,,74.0
13830,272.0,88.0,8.0,33.0,,31.0
13851,229.0,104.0,6.0,73.0,,14.0
13871,288.0,88.0,3.0,84.0,,29.0
13873,13.0,,,4.0,,
13891,232.0,117.0,,83.0,2.0,23.0
13930,3785.0,1296.0,113.0,1405.0,6.0,289.0
13931,359.0,92.0,5.0,109.0,,29.0
13933,47.0,9.0,,2.0,,2.0
13964,4.0,,,2.0,,1.0
13970,22.0,,,2.0,,
14004,32.0,,,5.0,,
14025,20.0,1.0,1.0,4.0,,1.0
14027,515.0,140.0,9.0,118.0,,44.0
14057,755.0,159.0,4.0,223.0,1.0,38.0
14082,115.0,21.0,2.0,41.0,,9.0
14100,1681.0,542.0,18.0,562.0,5.0,113.0
14107,1178.0,909.0,4.0,913.0,9.0,328.0
14108,63.0,18.0,,14.0,,2.0
14109,18.0,1.0,,2.0,,
14112,218.0,11.0,8.0,71.0,,12.0
14113,,,,1.0,,
14122,624.0,164.0,8.0,261.0,,45.0
14150,16.0,,1.0,6.0,,
