origin,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SPI,39,2,107,12,9,6,4,1,0,1,1,2,1,0,0,0,0,0,2
SPN,24,2,366,9,7,2,0,1,2,0,1,0,0,0,0,0,0,0,2
SPS,104,13,725,21,13,12,6,10,5,6,2,3,2,3,6,1,1,3,10
SRQ,2953,571,16201,914,509,323,230,173,129,118,70,76,69,45,40,26,24,23,184
STC,25,2,149,13,2,2,1,0,1,2,0,0,0,0,3,0,0,0,1
STL,13825,705,65597,5570,2649,1534,957,690,479,384,276,221,182,150,124,90,65,61,393
STS,703,18,3688,256,116,82,56,50,30,25,18,14,10,6,7,6,6,1,20
STT,1229,60,5538,377,242,124,95,78,47,41,37,34,20,18,16,7,11,8,74
STX,313,14,1196,96,68,34,24,16,17,13,7,5,5,5,3,2,2,1,15
SUN,242,22,2005,45,40,31,15,6,11,13,7,3,6,8,5,8,9,3,32
SUX,131,14,730,28,26,7,6,14,3,4,5,3,3,4,2,2,2,2,20
SWF,102,7,425,35,11,10,5,7,7,2,4,2,5,1,1,1,1,1,9
SWO,93,15,730,22,10,11,5,8,8,3,4,4,1,0,0,2,4,2,9
SYR,2203,202,13376,704,405,236,152,141,98,69,59,45,43,34,31,18,18,11,139
TLH,985,104,6097,305,180,112,81,60,45,37,28,26,20,14,13,8,6,8,42
TOL,96,4,375,27,19,11,8,5,1,0,4,2,4,3,2,3,1,0,6
TPA,16495,1985,78517,5480,2801,1846,1249,999,705,589,498,347,338,221,211,190,137,118,766
TRI,316,22,2248,85,58,38,20,24,13,11,6,6,9,6,6,6,1,3,24
TTN,447,59,1798,106,73,56,47,39,17,20,13,8,5,10,9,8,6,9,21
TUL,2532,171,17155,783,467,284,224,139,109,84,69,56,37,45,18,26,19,23,149
TUS,2978,133,19128,986,531,389,217,144,135,106,70,51,55,47,41,30,24,18,134
TVC,823,49,4090,256,123,99,66,60,35,26,25,23,18,8,10,8,9,6,51
TWF,42,2,700,8,6,4,3,4,6,3,1,2,1,2,0,1,0,0,1
TXK,136,21,737,34,22,13,7,12,3,8,1,5,2,2,5,1,3,1,17
TYR,202,30,1090,44,36,21,13,13,13,8,6,3,6,4,6,2,4,4,19
TYS,2669,257,16281,854,447,317,198,155,105,98,76,78,47,32,34,27,21,23,157
USA,220,16,703,62,44,22,18,10,6,8,7,10,8,3,4,2,0,2,14
VCT,90,16,635,11,4,7,8,7,6,9,4,4,5,2,2,1,3,0,17
VEL,5,NA,NA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
VLD,107,17,781,29,17,11,9,7,5,4,3,0,4,3,2,2,2,2,7
VPS,1875,117,9897,588,344,208,158,105,69,45,49,37,47,28,25,18,18,10,126
WRG,93,11,726,37,21,8,11,3,3,2,1,1,1,0,1,1,0,2,1
WYS,41,4,313,10,4,2,2,3,1,2,2,1,2,3,1,1,0,0,7
XNA,2368,120,13874,790,385,245,187,151,117,76,53,45,49,50,36,28,18,17,121
XWA,332,31,1972,68,50,31,30,27,16,16,12,7,4,5,7,3,5,3,48
YAK,112,16,726,46,24,15,4,10,2,3,1,1,2,1,0,0,2,1,0
YUM,200,6,1722,48,34,19,17,11,10,8,7,2,2,1,5,1,1,4,30
