origin,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CMI,256,21,1385,72,43,32,14,11,14,11,13,3,3,4,8,2,1,0,25
CMX,165,30,730,29,28,20,14,12,9,6,4,7,5,5,1,4,2,3,16
CNY,3,2,31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
COD,148,5,631,45,20,18,8,14,5,8,4,4,3,3,2,0,2,2,10
COS,2153,140,12654,698,387,257,176,117,96,64,64,42,29,34,26,13,23,20,107
COU,390,36,1779,127,71,37,32,22,24,16,13,11,1,5,3,3,2,4,19
CPR,240,13,1771,79,34,31,16,14,12,8,6,3,2,4,3,5,2,1,20
CRP,600,66,3871,183,98,72,49,36,29,21,21,13,19,7,7,3,6,4,32
CRW,752,41,3433,209,97,77,53,50,38,34,20,16,21,15,9,7,8,12,86
CSG,153,22,1001,31,26,14,15,7,8,7,5,8,2,7,2,5,1,3,12
CVG,6879,577,41270,2088,1260,793,530,432,333,230,181,167,133,108,86,79,55,55,349
CWA,72,6,731,20,12,6,3,4,3,4,5,2,3,1,0,1,0,2,6
CYS,66,14,679,15,7,4,3,2,0,3,5,5,1,2,2,4,1,1,11
DAB,422,53,2874,111,77,51,41,27,17,13,14,9,6,10,5,4,2,3,32
DAL,18309,786,72674,7503,3758,2063,1316,878,574,433,334,261,199,169,162,122,115,78,344
DAY,1085,92,7640,270,158,112,87,92,63,52,29,29,23,21,21,18,13,7,90
DCA,26951,2222,140016,8404,4773,3087,2186,1672,1236,987,765,662,501,451,350,287,236,189,1165
DDC,101,19,627,23,11,12,7,7,3,4,3,1,1,3,2,3,2,1,18
DEC,150,18,780,23,21,15,7,11,12,8,3,3,5,1,1,3,4,3,30
DEN,70715,3485,308645,25547,13722,8480,5829,4172,3063,2212,1629,1174,989,745,534,443,320,299,1557
DFW,84623,5837,313582,25930,15778,10508,7408,5255,4019,3057,2288,1858,1365,1170,851,736,610,464,3326
DHN,100,6,766,25,17,14,7,5,2,6,2,1,1,2,0,1,1,0,16
DIK,67,17,671,8,9,8,2,4,3,0,5,1,3,3,1,1,1,1,17
DLG,13,3,110,4,2,0,1,0,0,0,0,0,1,1,0,1,2,1,0
DLH,336,22,2232,89,55,23,27,20,20,16,7,7,11,8,7,4,1,7,34
DRO,620,37,3826,165,90,68,64,38,30,11,23,16,18,18,6,10,5,8,50
DSM,2629,240,15303,794,446,291,191,144,116,100,78,53,52,45,35,37,20,24,203
DTW,23864,1354,131367,7617,4219,2718,1994,1470,1142,952,669,537,420,344,252,221,212,146,951
DVL,91,29,678,20,11,5,4,10,6,6,3,4,3,2,3,2,0,1,11
EAR,14,3,105,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6
EAU,7,2,31,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2
ECP,1719,81,8380,605,330,200,119,105,62,53,42,26,26,23,18,14,15,10,71
EGE,859,47,3802,245,131,104,58,42,32,39,30,19,16,16,18,9,11,12,77
EKO,17,2,366,1,3,2,2,0,1,0,2,0,1,1,1,0,0,0,3
ELM,211,7,1007,48,27,15,20,13,14,8,4,8,2,7,3,3,3,5,31
ELP,3024,146,17494,1020,603,350,224,174,126,93,61,47,66,39,29,30,24,14,124
ESC,95,5,650,18,14,10,9,2,3,8,5,2,4,1,1,4,2,2,10
EUG,1206,124,7211,397,196,147,84,66,70,47,36,17,19,16,10,12,8,13,68
EVV,348,25,2106,89,59,37,23,21,26,12,9,11,8,6,5,5,1,4,32
EWN,19,4,51,2,4,3,1,1,1,1,1,2,1,0,0,0,0,0,2
EWR,27214,3250,128979,7976,4727,3255,2285,1792,1367,1067,815,671,503,434,359,287,286,186,1204
EYW,1964,216,7947,602,334,211,154,115,88,84,65,46,32,38,18,20,14,16,127
FAI,585,40,3452,257,96,73,42,34,13,16,6,13,3,5,4,1,2,1,19
FAR,1135,65,6715,335,175,108,94,70,64,43,33,25,21,19,21,10,11,15,91
FAT,2150,88,11795,731,390,254,197,121,76,60,47,39,34,26,18,17,17,14,109
FAY,220,14,1512,68,34,14,15,10,9,7,8,8,7,3,5,4,4,2,22
FCA,610,32,3840,191,121,66,44,36,29,18,14,10,8,4,4,6,3,5,51
FLG,263,8,1850,47,39,30,23,13,11,12,10,12,5,6,8,4,3,3,37
FLL,24562,1499,91890,8097,4688,2931,2012,1461,1095,769,633,508,421,302,273,225,191,149,807
FNT,413,28,2212,112,62,49,36,29,19,15,14,11,5,8,8,0,3,4,38
FOD,136,14,627,34,17,23,11,13,4,3,5,1,3,4,2,2,1,1,12
