dest,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CMI,326,21,1385,105,60,50,26,13,14,10,9,10,7,2,3,4,0,3,10
CMX,199,32,730,41,33,23,15,12,13,16,12,6,4,3,4,2,1,1,13
CNY,6,2,31,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
COD,119,3,633,39,13,15,8,16,6,8,6,3,2,1,1,0,0,0,1
COS,3027,133,12655,1058,610,379,281,171,121,92,64,47,36,36,21,13,19,9,70
COU,413,35,1779,125,82,51,32,24,31,23,8,6,4,9,4,2,1,2,9
CPR,279,12,1771,90,51,34,18,22,17,9,7,5,5,2,1,2,1,1,14
CRP,761,64,3872,288,150,85,57,45,27,21,26,5,11,12,7,6,3,3,15
CRW,815,44,3433,209,134,94,65,58,60,43,32,18,18,13,6,7,8,2,48
CSG,179,20,1001,39,38,22,17,14,10,5,8,6,4,3,1,1,1,2,8
CVG,8440,565,41275,2708,1474,1072,661,527,379,303,204,210,167,112,110,80,74,52,307
CWA,91,6,731,27,17,5,9,5,2,5,1,2,1,3,2,0,2,0,10
CYS,105,12,679,32,19,14,6,6,3,2,2,4,1,3,0,0,0,1,12
DAB,497,51,2875,179,91,64,38,27,23,14,13,4,6,4,3,5,6,2,18
DAL,15993,835,72672,6527,3211,1835,1123,731,493,438,339,250,195,166,120,121,101,61,282
DAY,1493,93,7639,427,252,155,120,81,98,72,49,41,25,26,32,16,13,11,75
DCA,25835,2177,140015,8189,4542,2858,2173,1505,1125,921,687,571,480,386,343,248,224,193,1390
DDC,107,22,628,33,22,7,13,4,4,5,4,1,0,1,1,1,2,3,6
DEC,184,18,780,50,28,20,12,8,10,16,8,5,4,3,3,0,0,3,14
DEN,58111,3827,308609,20311,10701,6822,4481,3229,2430,1844,1458,1125,873,717,583,491,392,312,2342
DFW,69673,6046,313568,20305,11937,7945,5513,4322,3332,2648,2028,1576,1404,1105,933,797,612,555,4661
DHN,136,6,766,40,21,23,11,10,6,2,3,2,5,4,1,1,0,1,6
DIK,105,15,671,33,15,13,13,2,5,6,4,2,3,0,1,1,0,0,7
DLG,8,3,110,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
DLH,363,22,2232,92,67,44,27,25,16,23,16,8,7,6,6,5,2,1,18
DRO,625,34,3827,192,122,67,72,36,32,20,14,11,10,9,7,10,2,1,20
DSM,3381,231,15303,1108,613,437,285,189,166,121,75,56,52,42,31,32,26,14,134
DTW,23884,1399,131360,7515,4187,2753,1843,1383,1106,835,651,539,434,359,308,228,228,185,1330
DVL,88,26,678,28,13,8,8,2,3,3,1,2,4,5,1,0,0,2,8
EAR,13,4,106,4,5,0,1,1,0,0,1,0,0,0,0,0,0,0,1
EAU,9,2,32,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,3
ECP,1680,64,8382,645,334,197,124,90,68,37,28,29,24,20,16,13,11,8,36
EGE,760,35,3805,220,132,78,64,43,41,19,30,19,9,12,13,12,9,11,48
EKO,42,2,366,15,4,4,5,2,0,0,1,1,1,0,0,0,0,0,9
ELM,202,6,1007,48,34,30,20,14,7,11,3,9,0,4,3,1,0,1,17
ELP,3975,130,17495,1491,776,495,319,217,153,119,79,68,50,36,35,24,17,12,84
ESC,103,3,651,27,15,11,11,7,4,4,5,1,2,2,3,1,3,3,4
EUG,1417,107,7208,522,264,168,88,93,67,51,38,24,21,16,10,5,7,8,35
EVV,378,25,2106,112,73,43,32,29,17,19,10,11,7,4,4,0,1,0,16
EWN,17,3,51,5,1,4,1,0,0,2,0,1,2,0,0,0,0,0,1
EWR,26778,3332,128978,7223,4522,3062,2293,1740,1393,1167,883,737,626,490,391,374,302,244,1331
EYW,1318,181,7946,379,206,156,108,95,74,50,46,42,27,20,15,11,13,9,67
FAI,756,29,3453,325,160,99,65,33,15,16,7,9,3,5,6,1,2,0,10
FAR,1301,54,6714,415,229,147,100,80,73,49,36,33,29,23,11,6,6,12,52
FAT,2529,84,11797,891,521,324,223,137,110,74,47,49,22,27,26,15,6,3,54
FAY,263,14,1511,75,45,36,20,16,12,14,13,10,4,3,2,0,1,1,11
FCA,658,26,3840,226,129,77,50,47,22,26,15,16,11,7,1,4,4,2,21
FLG,264,6,1851,66,42,35,28,22,19,7,8,7,8,1,2,1,4,2,12
FLL,22887,1526,91897,7589,4247,2595,1867,1333,1027,751,594,488,400,317,266,215,178,155,865
FNT,584,25,2213,172,113,59,53,46,27,19,20,14,6,6,6,7,3,2,31
FOD,165,14,627,38,32,25,16,12,10,4,6,7,2,0,2,1,2,2,6
FSD,1372,85,7033,388,263,189,129,91,69,53,35,32,17,17,8,6,15,9,51
FSM,222,26,1184,70,47,27,16,12,14,12,5,3,6,3,2,0,0,1,4
FWA,960,61,4723,254,166,114,82,58,54,44,45,29,17,18,14,6,9,9,41
GCC,105,11,732,30,22,13,14,7,4,5,1,2,1,0,0,1,0,2,3
GCK,166,16,730,51,27,17,14,15,5,6,6,5,5,2,4,0,0,2,7
GEG,3607,112,17529,1427,728,372,262,200,149,109,81,65,39,35,24,12,13,7,84
GFK,190,5,1283,58,37,22,14,16,9,7,3,5,7,1,1,1,2,0,7
GGG,145,17,729,32,26,12,20,12,10,8,7,5,1,3,2,0,1,0,6
GJT,611,29,3967,195,118,70,60,40,29,20,14,14,8,4,7,7,4,1,20
GNV,473,60,3027,158,91,66,36,19,24,16,19,19,4,4,4,0,2,0,11
GPT,571,51,3372,171,114,70,41,39,29,23,19,15,5,3,5,7,4,1,25
GRB,950,53,4202,258,166,116,89,66,50,43,20,24,15,13,20,11,9,6,44
GRI,157,22,954,46,31,21,14,9,9,4,5,6,0,4,0,0,3,0,5
GRK,399,37,1797,121,80,57,37,25,22,11,7,9,2,6,2,2,3,1,14
GRR,3976,266,18237,1281,724,505,353,227,176,132,116,95,60,57,36,35,26,22,131
GSO,2171,203,11953,620,433,291,184,147,109,83,61,48,41,27,26,16,17,10,58
GSP,3151,234,16324,1037,598,376,230,197,145,130,84,65,52,35,37,21,15,14,115
