dest,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SPI,17,2,107,7,4,0,3,0,1,0,1,1,0,0,0,0,0,0,0
SPN,11,2,366,3,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0
SPS,121,11,725,30,25,13,19,6,7,7,1,0,2,2,3,0,0,0,6
SRQ,3389,558,16203,1203,608,360,252,165,167,115,102,74,67,57,29,26,22,20,122
STC,9,2,150,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
STL,13511,650,65602,5219,2654,1585,1044,679,520,362,283,238,180,158,111,81,75,44,278
STS,654,20,3688,244,136,72,57,36,17,22,17,13,12,3,6,3,6,3,7
STT,983,40,5537,316,205,118,83,50,43,27,21,23,18,15,9,9,8,4,34
STX,315,12,1196,107,72,31,25,18,17,11,4,6,3,3,3,2,3,1,9
SUN,255,17,2005,78,39,37,22,21,11,15,12,4,2,2,2,2,2,1,5
SUX,172,19,730,61,29,19,8,11,6,5,6,2,4,0,4,2,0,1,14
SWF,67,7,425,23,8,4,7,6,2,3,2,1,3,0,2,0,0,1,5
SWO,117,13,730,29,21,21,13,3,4,8,2,3,1,0,0,2,1,0,9
SYR,2871,220,13377,917,555,337,232,189,133,118,82,60,44,40,24,17,18,19,86
TLH,1026,102,6098,337,192,144,96,60,54,32,20,18,16,10,7,5,4,7,24
TOL,64,4,375,22,10,7,8,2,1,3,1,0,4,2,2,0,1,0,1
TPA,18619,1892,78512,6405,3468,2090,1425,1047,842,641,477,394,305,269,183,174,144,101,654
TRI,342,19,2247,130,63,39,27,19,19,10,4,5,6,4,1,3,1,1,10
TTN,420,45,1804,119,73,63,30,31,22,7,10,6,4,10,7,11,4,2,21
TUL,3781,160,17158,1288,716,489,325,244,172,117,89,58,46,44,22,32,28,21,90
TUS,4013,119,19137,1512,740,489,305,235,162,127,100,63,42,48,31,26,24,15,94
TVC,850,47,4094,254,149,92,75,68,40,35,21,20,23,10,5,13,5,6,34
TWF,60,2,700,19,6,8,2,1,4,5,7,1,0,0,3,0,0,0,4
TXK,169,18,737,42,35,25,13,8,10,7,6,3,1,6,0,3,2,0,8
TYR,181,26,1090,41,29,28,16,23,8,5,5,6,1,2,0,2,2,0,13
TYS,3287,236,16283,1009,597,414,274,229,145,142,81,88,55,45,29,21,22,22,114
USA,174,15,704,61,26,19,11,7,5,4,11,10,7,2,0,3,1,0,7
VCT,114,14,635,23,12,13,9,10,10,5,7,3,2,3,2,3,0,1,11
VEL,8,NA,NA,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
VLD,119,16,781,41,22,16,6,5,4,4,3,1,3,5,4,0,0,1,4
VPS,2098,109,9898,714,374,259,163,131,94,63,43,39,29,25,32,21,21,13,77
WRG,124,9,726,53,26,15,7,9,4,4,1,1,0,0,0,1,0,1,2
WYS,39,2,313,12,6,5,1,4,0,2,2,0,2,0,1,0,1,1,2
XNA,2421,121,13877,785,462,278,219,141,114,87,71,39,42,35,24,25,19,16,64
XWA,347,26,1973,107,58,45,30,25,15,12,12,7,6,4,3,2,3,0,18
YAK,126,8,726,55,22,13,7,10,5,4,1,1,1,2,1,0,0,1,3
YUM,233,5,1722,73,49,26,29,10,12,6,6,4,2,2,1,2,0,0,11
